  table_schema  |      table_name       |     column_name     |        data_type         | max_len | is_nullable 
 inventory      | item                  | CreatedAt           | timestamp with time zone |         | NO
 inventory      | item                  | UpdatedAt           | timestamp with time zone |         | NO
 inventory      | item_unit_of_measure  | Id                  | uuid                     |         | NO
 inventory      | item_unit_of_measure  | tenant_id           | uuid                     |         | NO
 inventory      | item_unit_of_measure  | ItemNo              | character varying        |      20 | NO
 inventory      | item_unit_of_measure  | Code                | character varying        |      10 | NO
 inventory      | item_unit_of_measure  | QtyPerUnitOfMeasure | numeric                  |         | NO
 inventory      | item_unit_of_measure  | CreatedAt           | timestamp with time zone |         | NO
 inventory      | item_unit_of_measure  | UpdatedAt           | timestamp with time zone |         | NO
 inventory      | location              | Id                  | uuid                     |         | NO
 inventory      | location              | tenant_id           | uuid                     |         | NO
 inventory      | location              | Code                | character varying        |      10 | NO
 inventory      | location              | Name                | character varying        |      50 | NO
 inventory      | location              | Address             | character varying        |      50 | NO
 inventory      | location              | City                | character varying        |      30 | NO
 inventory      | location              | CreatedAt           | timestamp with time zone |         | NO
 inventory      | location              | UpdatedAt           | timestamp with time zone |         | NO
 public         | __EFMigrationsHistory | MigrationId         | character varying        |     150 | NO
 public         | __EFMigrationsHistory | ProductVersion      | character varying        |      32 | NO
 purchasing     | purchase_header       | Id                  | uuid                     |         | NO
 purchasing     | purchase_header       | tenant_id           | uuid                     |         | NO
 purchasing     | purchase_header       | DocumentType        | text                     |         | NO
 purchasing     | purchase_header       | No                  | character varying        |      20 | NO
 purchasing     | purchase_header       | BuyFromVendorNo     | character varying        |      20 | NO
 purchasing     | purchase_header       | PayToName           | character varying        |      50 | NO
 purchasing     | purchase_header       | PostingDate         | timestamp with time zone |         | NO
 purchasing     | purchase_header       | CreatedAt           | timestamp with time zone |         | NO
 purchasing     | purchase_header       | UpdatedAt           | timestamp with time zone |         | NO
 purchasing     | vendor                | Id                  | uuid                     |         | NO
 purchasing     | vendor                | tenant_id           | uuid                     |         | NO
 purchasing     | vendor                | No                  | character varying        |      20 | NO
 purchasing     | vendor                | Name                | character varying        |      50 | NO
 purchasing     | vendor                | Address             | character varying        |      50 | NO
 purchasing     | vendor                | City                | character varying        |      30 | NO
 purchasing     | vendor                | Contact             | character varying        |      50 | NO
 purchasing     | vendor                | Blocked             | boolean                  |         | NO
 purchasing     | vendor                | CreatedAt           | timestamp with time zone |         | NO
 purchasing     | vendor                | UpdatedAt           | timestamp with time zone |         | NO
 sales          | customer              | Id                  | uuid                     |         | NO
 sales          | customer              | tenant_id           | uuid                     |         | NO
 sales          | customer              | No                  | character varying        |      20 | NO
 sales          | customer              | Name                | character varying        |      50 | NO
 sales          | customer              | Address             | character varying        |      50 | NO
 sales          | customer              | City                | character varying        |      30 | NO
 sales          | customer              | Contact             | character varying        |      50 | NO
 sales          | customer              | Blocked             | boolean                  |         | NO
 sales          | customer              | CreatedAt           | timestamp with time zone |         | NO
 sales          | customer              | UpdatedAt           | timestamp with time zone |         | NO
 sales          | sales_header          | Id                  | uuid                     |         | NO
